id,auto_number,auto_brand,compensated,fines
610,H908YK197RUS,Ford Focus,2,4800
611,Y969O8197RUS,Ford Focus,1,15600
612,9028CO161RUS,Ford Focus,1,1500
613,9502XX38RUS,Skoda Octavia,1,3000
614,7840C8197RUS,Ford Focus,2,3500
615,T6249O50RUS,Ford Focus,2,8500
616,E53677152RUS,Ford Focus,2,11000
617,E42377152RUS,Ford Focus,2,3000
618,X256HE161RUS,Ford Focus,2,1600
619,9941KK197RUS,Ford Focus,1,800
620,E28877161RUS,Ford Focus,1,500
621,M0299X197RUS,Ford Focus,2,19200
622,M372CH197RUS,Ford Focus,1,21600
623,K040CC197RUS,Ford Focus,2,3600
624,E41577152RUS,Ford Focus,2,3000
625,9763HY161RUS,Ford Focus,1,900
626,T535ET96RUS,Ford Focus,2,3000
627,92918M178RUS,Ford Focus,2,7600
628,Y655E8750RUS,Skoda Octavia,1,2600
629,K2797K154RUS,Ford Focus,1,2400
630,K559KC161RUS,Ford Focus,1,200
631,7369C8197RUS,Ford Focus,2,10100
632,T6359O50RUS,Ford Focus,2,13500
633,8321XX154RUS,Ford Focus,1,200
634,O134HE197RUS,Ford Focus,2,11400
635,H961HY161RUS,Ford Focus,2,2500
636,M2169X197RUS,Ford Focus,2,3100
637,707987163RUS,Ford Focus,1,1100
638,8234XX154RUS,Ford Focus,1,1300
639,9938KK197RUS,Ford Focus,1,28500
640,X759HY197RUS,Ford Focus,1,37500
641,M375CH197RUS,Ford Focus,1,18100
642,C803KE163RUS,Volkswagen Jetta,1,1000
643,O83697197RUS,Ford Focus,2,6100
644,92918M178RUS,Ford Focus,1,1900
645,92928M178RUS,Ford Focus,1,1200
646,E52677152RUS,Ford Focus,2,2500
647,8451M7154RUS,Ford Focus,1,500
648,9589EY178RUS,Ford Focus,1,500
649,H907YK197RUS,Ford Focus,2,7100
650,O39897197RUS,Ford Focus,2,3800
651,H618YC38RUS,Volkswagen Golf,1,300
652,C299K9154RUS,Ford Focus,1,500
653,M0299X197RUS,Ford Focus,1,9600
654,8437XX154RUS,Ford Focus,2,800
655,9468EX178RUS,Ford Focus,1,4000
656,M375CH197RUS,Ford Focus,2,18100
657,H982HY161RUS,Ford Focus,1,300
658,8201XX154RUS,Ford Focus,1,7800
659,8224XX154RUS,Ford Focus,1,2500
660,O22397197RUS,Ford Focus,1,18500
661,Y653E8750RUS,Skoda Octavia,1,500
662,708487163RUS,Ford Focus,1,1000
663,K558KC161RUS,Ford Focus,1,500
664,O058M7161RUS,Ford Focus,1,1900
665,9468EX178RUS,Ford Focus,1,2000
666,M256OH161RUS,Ford Focus,2,1600
667,7183TT36RUS,Ford Focus,2,5400
668,T242H8197RUS,Skoda Octavia,2,23400
669,K27188138RUS,Ford Focus,1,2000
670,X782CO96RUS,Ford Focus,1,1000
671,Y7659C197RUS,Ford Focus,1,1500
672,X523OM161RUS,Ford Focus,1,400
673,T686EO197RUS,Toyota Camry,2,1000
674,96629X178RUS,Ford Focus,1,7000
675,9881HX152RUS,Ford Focus,2,10300
676,9020YC197RUS,Skoda Octavia,2,72500
677,T479KX197RUS,Ford Focus,2,12000
678,M680T9152RUS,Volkswagen Jetta,2,9000
679,7831C8197RUS,Ford Focus,2,6800
680,7364C8197RUS,Ford Focus,2,4500
681,7844C8197RUS,Ford Focus,2,17000
682,9068EM178RUS,Ford Focus,1,600
683,T011MY163RUS,Ford Focus,2,4000
684,C410X938RUS,Ford Focus,1,1100
685,X762HY197RUS,Ford Focus,1,500
686,9470EX178RUS,Ford Focus,1,500
687,X4128H125RUS,Ford Focus,2,1500
688,M373CH197RUS,Ford Focus,2,6600
689,9762HY161RUS,Ford Focus,2,2600
690,8610T8154RUS,Ford Focus,1,2000
691,H419XE197RUS,Toyota Corolla,2,6900
692,98017H178RUS,Ford Focus,1,1500
693,Y780EE197RUS,Volkswagen Golf,2,4600
694,T686EO197RUS,Toyota Camry,1,1000
695,9943OH154RUS,Skoda Octavia,1,400
696,Y354O8197RUS,Ford Focus,1,10800
697,7065C8197RUS,Volkswagen Passat,1,3800
698,9938KK197RUS,Ford Focus,1,28500
699,E28777161RUS,Ford Focus,1,800
700,M701T9152RUS,Ford Focus,2,3000
701,E577HE77RUS,Ford Focus,2,12000
702,Y194O8161RUS,Ford Focus,2,900
703,92788M178RUS,Ford Focus,1,1200
704,9072EM178RUS,Ford Focus,2,4400
705,9409H7178RUS,Skoda Octavia,1,3000
706,C3829X154RUS,Ford Focus,2,13500
707,T478KX197RUS,Ford Focus,2,7500
708,T119CT96RUS,Ford Focus,1,2000
709,X795O796RUS,Ford Focus,1,1000
710,708487163RUS,Ford Focus,1,1000
711,H983HY161RUS,Ford Focus,1,500
712,7842C8197RUS,Ford Focus,1,6000
713,O64097197RUS,Ford Focus,2,71200
714,Y693HM197RUS,BMW,2,6500
715,96857X197RUS,Skoda Octavia,1,37800
716,7177TT36RUS,Ford Focus,1,500
717,H908YK197RUS,Ford Focus,1,4800
718,9428EX178RUS,Ford Focus,1,500
719,84438C154RUS,Ford Focus,2,7600
720,Y7689C197RUS,Ford Focus,2,9000
721,H427YH197RUS,Volkswagen Passat,1,9900
722,T394KX197RUS,Ford Focus,2,1500
723,O49897197RUS,Ford Focus,2,11800
724,H963X936RUS,Skoda Octavia,1,1800
725,T341CC96RUS,Volkswagen Passat,2,1000
726,9942KK197RUS,Ford Focus,2,6200
727,9141H8178RUS,Skoda Octavia,1,300
728,9942KK197RUS,Ford Focus,2,3100
729,7370C8197RUS,Ford Focus,2,5000
730,9890HX152RUS,Ford Focus,2,9200
731,9409H7178RUS,Skoda Octavia,1,6000
732,M268CH197RUS,Toyota Camry,1,800
733,Y780EE197RUS,Volkswagen Golf,1,2300
734,Y388E877RUS,Ford Focus,2,9500
735,C419X938RUS,Ford Focus,1,1100
736,M0319X197RUS,Ford Focus,2,4500
737,M577CH197RUS,Ford Focus,2,17000
738,7361C8197RUS,Ford Focus,1,800
739,H975HY161RUS,Ford Focus,1,2000
740,X018HY197RUS,Toyota Camry,2,10600
741,E33177152RUS,Ford Focus,2,7100
742,X256HE161RUS,Ford Focus,2,1600
743,Y7689C197RUS,Ford Focus,2,45000
744,Y969O8197RUS,Ford Focus,2,7800
745,7788KT197RUS,Ford Focus,2,4000
746,9491H7178RUS,Volkswagen Jetta,1,500
747,M374CH197RUS,Ford Focus,1,5500
748,96679X178RUS,Ford Focus,2,2400
749,9594HY161RUS,Ford Focus,1,300
750,C593EY154RUS,Ford Focus,1,1000
751,Y164O8161RUS,Ford Focus,1,800
752,M942OT152RUS,Ford Focus,1,2000
753,T195OK161RUS,Ford Mondeo,2,6700
754,T476KX197RUS,Ford Focus,2,4500
755,H889YK197RUS,Ford Focus,2,21200
756,Y7429Y50RUS,Ford Focus,2,2000
757,H976HY161RUS,Ford Focus,2,2200
758,C410X938RUS,Ford Focus,2,2200
759,Y195O8161RUS,Ford Focus,1,100
760,O669E8197RUS,Ford Focus,1,18000
761,Y187O8161RUS,Ford Focus,2,400
762,K329T8197RUS,Skoda Octavia,2,13000
763,96659X178RUS,Ford Focus,1,900
764,7842C8197RUS,Ford Focus,2,12000
765,O275O7161RUS,Ford Focus,1,8300
766,7784KT197RUS,Ford Focus,2,6600
767,9677MO178RUS,Ford Mondeo,1,2200
768,H957HY161RUS,Ford Focus,1,2000
769,M0279X197RUS,Ford Focus,2,36000
770,7784KT197RUS,Ford Focus,2,6600
771,9939KK197RUS,Ford Focus,1,1600
772,Y8399C197RUS,Ford Focus,1,600
773,M373CH197RUS,Ford Focus,2,6600
774,7164YM36RUS,Ford Focus,2,18800
775,7843C8197RUS,Ford Focus,2,4100
776,O753MX161RUS,Ford Focus,2,700
777,9468EX178RUS,Ford Focus,2,2000
778,T395KX197RUS,Ford Focus,2,7600
779,T6488M116RUS,Ford Focus,2,21000
780,7361C8197RUS,Ford Focus,1,800
781,98047H178RUS,Ford Focus,1,500
782,8316XX154RUS,Ford Focus,1,1100
783,O752MX161RUS,Ford Focus,2,2600
784,8234XX154RUS,Ford Focus,2,2600
785,9488EY178RUS,Ford Focus,2,1300
786,K326T8197RUS,Volkswagen Passat,1,100
787,90159H178RUS,Volkswagen Passat,1,300
788,9469EX178RUS,Ford Focus,1,4200
789,X796TH96RUS,Ford Focus,1,500
790,9499KX178RUS,Ford Focus,1,4600
791,Y358O8197RUS,Ford Focus,2,21800
792,C420X938RUS,Ford Focus,2,3300
793,Y965O8197RUS,Ford Focus,2,1600
794,96429X178RUS,Ford Focus,2,1300
795,Y358O8197RUS,Ford Focus,1,43600
796,E223YM197RUS,Ford Focus,2,19500
797,E42277152RUS,Ford Focus,2,5300
798,E34877152RUS,Ford Focus,2,36600
799,Y964EE197RUS,Ford Focus,2,6000
800,T6049O50RUS,Ford Focus,2,15000
801,8601XX154RUS,Skoda Octavia,1,3900
802,H259HY161RUS,Toyota Corolla,1,900
803,T940CC96RUS,Ford Focus,1,500
804,T288CT96RUS,Ford Focus,1,1500
805,Y6839Y50RUS,Ford Focus,1,1500
806,Y344E877RUS,Ford Focus,1,1000
807,K889HY161RUS,Ford Mondeo,2,46200
808,H214X836RUS,Ford Focus,1,8000
809,T399KX197RUS,Ford Focus,2,15300
810,O421OT161RUS,Skoda Octavia,1,1200
811,H232YH197RUS,Ford Focus,1,4300
812,7360C8197RUS,Ford Focus,2,9600
813,T6418M116RUS,Ford Focus,1,49200
814,7248C8197RUS,Ford Mondeo,2,34400
815,Y194O8161RUS,Ford Focus,2,900
816,9881HX152RUS,Ford Focus,2,20600
817,T6359O50RUS,Ford Focus,2,13500
